case_type,query_index,query_path,query_pid,query_camera_id,true_path,true_pid,true_camera_id,true_visual_similarity,true_semantic_adjustment,true_effective_semantic_adjustment,true_quality_scale,true_final_score,false_path,false_pid,false_camera_id,false_visual_similarity,false_semantic_adjustment,false_effective_semantic_adjustment,false_quality_scale,false_final_score,true_minus_false_visual_gap
corrected,11,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0023_c1_f0052564.jpg,23,0,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0023_c3_f0034250.jpg,23,2,0.8022481203079224,0.6296296296296297,0.6296296296296297,0.7700816052471413,0.83372962474823,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0555_c3_f0122303.jpg,555,2,0.8172121047973633,0.18518518518518517,0.18518518518518517,0.7700816052471413,0.8264713883399963,-0.014963984489440918
corrected,46,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0043_c6_f0036866.jpg,43,5,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0043_c7_f0041867.jpg,43,6,0.8441802859306335,0.3333333333333333,0.3333333333333333,0.7176339341534508,0.8608469367027283,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\4110_c6_f0045335.jpg,4110,5,0.8640379905700684,-0.3333333333333333,-0.3333333333333333,0.7274229569751539,0.8473713397979736,-0.019857704639434814
corrected,99,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0076_c6_f0053772.jpg,76,5,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0076_c2_f0069794.jpg,76,1,0.8396505117416382,0.7777777777777778,0.7777777777777778,0.7552619996262185,0.8785393834114075,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0469_c6_f0113612.jpg,469,5,0.8424386382102966,0.5555555555555556,0.5555555555555556,0.7552619996262185,0.870216429233551,-0.0027881264686584473
corrected,119,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0086_c3_f0042905.jpg,86,2,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0086_c2_f0067500.jpg,86,1,0.8181899785995483,0.5333333333333333,0.5333333333333333,0.833288329011864,0.8448566198348999,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\1834_c3_f0137813.jpg,1834,2,0.8244847059249878,0.26666666666666666,0.26666666666666666,0.833288329011864,0.8378180265426636,-0.006294727325439453
corrected,121,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0088_c1_f0068997.jpg,88,0,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0088_c2_f0072868.jpg,88,1,0.8286088705062866,0.4074074074074074,0.4074074074074074,0.7264065414483165,0.8489792346954346,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0150_c1_f0081378.jpg,150,0,0.8369486331939697,-0.25925925925925924,-0.25925925925925924,0.7264065414483165,0.8239856958389282,-0.008339762687683105
corrected,129,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0091_c1_f0069493.jpg,91,0,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0091_c2_f0072907.jpg,91,1,0.7672802805900574,0.3333333333333333,0.3333333333333333,0.7452505476772785,0.7839469313621521,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0272_c1_f0097938.jpg,272,0,0.7757512331008911,0.13333333333333333,0.13333333333333333,0.786803957281841,0.782417893409729,-0.00847095251083374
corrected,140,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0098_c2_f0074170.jpg,98,1,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0098_c6_f0058132.jpg,98,5,0.858591616153717,0.8666666666666667,0.8666666666666667,0.8490884359512063,0.9019249677658081,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\2012_c2_f0208266.jpg,2012,1,0.8615632653236389,0.6666666666666666,0.6666666666666666,0.8209454175498749,0.8948966264724731,-0.002971649169921875
corrected,152,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0103_c6_f0049155.jpg,103,5,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0103_c5_f0072965.jpg,103,4,0.7899956703186035,0.48148148148148145,0.48148148148148145,0.7470994319812752,0.8140697479248047,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0098_c6_f0057772.jpg,98,5,0.7946028709411621,-0.26666666666666666,-0.26666666666666666,0.7815976892080572,0.7812695503234863,-0.004607200622558594
corrected,173,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0114_c1_f0073078.jpg,114,0,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0114_c2_f0077064.jpg,114,1,0.8014727830886841,1.0,1.0,0.8408727678435819,0.851472795009613,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0486_c1_f0127946.jpg,486,0,0.8034557104110718,-0.037037037037037035,-0.037037037037037035,0.8113957886710579,0.8016038537025452,-0.0019829273223876953
corrected,174,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0114_c2_f0077664.jpg,114,1,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0114_c6_f0061803.jpg,114,5,0.7868475317955017,0.7777777777777778,0.7777777777777778,0.7734215336265386,0.825736403465271,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0201_c5_f0091591.jpg,201,4,0.804405689239502,0.0,0.0,0.8090109625624284,0.804405689239502,-0.017558157444000244
corrected,184,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0118_c2_f0078101.jpg,118,1,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0118_c5_f0083262.jpg,118,4,0.8889291286468506,0.6296296296296297,0.6296296296296297,0.7362188669634454,0.9204106330871582,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0117_c2_f0078095.jpg,117,1,0.8900802731513977,0.043478260869565216,0.043478260869565216,0.7030372217711476,0.8922541737556458,-0.0011511445045471191
corrected,193,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/query\0122_c8_f0030900.jpg,122,7,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\0122_c1_f0074713.jpg,122,0,0.805804431438446,0.4074074074074074,0.4074074074074074,0.7718300399037055,0.826174795627594,D:\deep-person-reid\reid-data\dukemtmc-reid\DukeMTMC-reID/bounding_box_test\6499_c8_f0095649.jpg,6499,7,0.8067322969436646,0.1111111111111111,0.1111111111111111,0.7498426550516375,0.8122878670692444,-0.0009278655052185059
